,zip_code,type,
81,60827,Riverdale,South
109,60805,Chicago,Chicago
34,60804,Chicago,Chicago
92,60803,Chicago,Chicago
68,60714,Niles,North 
132,60712,Lincolnwood,North
48,60707,Chicago,Chicago
88,60706,Chicago,Chicago
102,60661,Chicago,Chicago
22,60660,Chicago,Chicago
62,60659,Chicago,Chicago
0,60657,Chicago,Chicago
67,60656,Chicago,Chicago
75,60655,Chicago,Chicago
57,60654,Chicago,Chicago
51,60653,Chicago,Chicago
64,60652,Chicago,Chicago
43,60651,Chicago,Chicago
17,60649,Chicago,Chicago
3,60647,Chicago,Chicago
78,60646,Chicago,Chicago
40,60645,Chicago,Chicago
49,60644,Chicago,Chicago
32,60643,Chicago,Chicago
85,60642,Chicago,Chicago
20,60641,Chicago,Chicago
2,60640,Chicago,Chicago
30,60639,Chicago,Chicago
29,60638,Chicago,Chicago
25,60637,Chicago,Chicago
76,60636,Chicago,Chicago
13,60634,Chicago,Chicago
131,60633,Chicago,Chicago
35,60632,Chicago,Chicago
69,60631,Chicago,Chicago
31,60630,Chicago,Chicago
6,60629,Chicago,Chicago
15,60628,Chicago,Chicago
16,60626,Chicago,Chicago
7,60625,Chicago,Chicago
72,60624,Chicago,Chicago
36,60623,Chicago,Chicago
21,60622,Chicago,Chicago
73,60621,Chicago,Chicago
12,60620,Chicago,Chicago
8,60619,Chicago,Chicago
4,60618,Chicago,Chicago
9,60617,Chicago,Chicago
18,60616,Chicago,Chicago
24,60615,Chicago,Chicago
1,60614,Chicago,Chicago
5,60613,Chicago,Chicago
59,60612,Chicago,Chicago
11,60611,Chicago,Chicago
10,60610,Chicago,Chicago
39,60609,Chicago,Chicago
26,60608,Chicago,Chicago
60,60607,Chicago,Chicago
83,60601,Chicago,Chicago
130,60558,Western Spring,Western
112,60546,Riverside ,North
135,60534,Lyons,South
122,60526,La Grange Park,Western
65,60525,La Grange Park,Western
103,60513,Brookfield,Western
139,60501,Summit ,South
93,60487,Orland Hills,South
128,60482,Worth,South
144,60480,Willow Spring,Western
118,60478,Tinley Park,South
46,60477,Orland Hills,South
150,60476,Thornton,South
100,60473,South Holland,South
126,60471,Richton Park,
146,60469,Posen,
87,60467,Orland Hills,South
84,60466,University Park,
108,60465,Palos Hills,South
136,60464,Palos Park,South
121,60463,Palos Height,South
41,60462,Orland Park,South
145,60461,Olympia Fields,South
89,60459,Bedford Park,South
124,60458,Bedford Park,South
127,60457,Oak Lawn,South
117,60455,Bedford Park,South
19,60453,Oak Lawn,South
80,60452,Oak Forest,South
79,60445,Midlothian,South
96,60443,Matteson,South
95,60439,Lemont,South
70,60438,Lansing,South
97,60430,Homewood,South
120,60429,Hazel Crest,South
86,60426,Phoenix,South
138,60425,Glenwood,South
137,60422,Floosmoor,South
99,60419,Dolton,South
119,60415,Chicago Ridge,South
33,60411,Chicago Heights,South
52,60409,Calumet City,South
91,60406,Blue Island,South
28,60402,Berwyn ,western
133,60305,River Forest,western
111,60304,Oak Park,western
53,60302,Oak Park,western
149,60301,Oak Park,western
148,60203,Evanston,North
56,60202,Evanston,North
37,60201,Evanston,North
143,60195,Schamburg,western
98,60194,Schamburg,western
44,60193,Schamburg,western
125,60192,Hoffman Estates,western
129,60176,Schiller Park,western
116,60173,Schamburg,western
134,60171,River Grove,western
66,60169,Hoffman Estates,western
110,60164,NorthLake,western
147,60163,Berkeley,western
141,60162,Hillside,western
107,60160,Melrose Park,western
140,60155,Broadview,western
106,60154,Westchester,western
104,60153,Maywood,western
114,60131,Franklin Park,western
101,60130,Forest Park,western
61,60107,Streamwood,North
115,60104,Bellwood,North
105,60093,Winnetka,North
82,60091,Wilmette,North
50,60090,Wheeling,North
74,60077,Skokie,North
71,60076,Skokie,North
55,60074,Palatine,North
113,60070,Prospect Heights,North
54,60068,Park Ridge,North
42,60067,Palatine,North
45,60062,Northbrook,North
23,60056,Mount Prospect,North
90,60053,Morton Grove,North
151,60043,Kenilworth,North
123,60026,Glenview,North
47,60025,Glenview,North
142,60022,Glencoe,North
77,60018,Des Plaines,North
14,60016,Des Plaines,North
38,60010,Barrington,Western
94,60008,Rolling Meadows,North
58,60007,Elk Grove,North
63,60005,Arlington Heights,North
27,60004,Arlington Heights,North